date,ron95_vung1,is_update_day
2024-03-30,24810,0
2024-03-31,24810,0
2024-04-01,24810,0
2024-04-02,24810,0
2024-04-03,24810,0
2024-04-04,24800,1
2024-04-05,24800,0
2024-04-06,24800,0
2024-04-07,24800,0
2024-04-08,24800,0
2024-04-09,24800,0
2024-04-10,24800,0
2024-04-11,24820,1
2024-04-12,24820,0
2024-04-13,24820,0
2024-04-14,24820,0
2024-04-15,24820,0
2024-04-16,24820,0
2024-04-17,25230,1
2024-04-18,25230,0
2024-04-19,25230,0
2024-04-20,25230,0
2024-04-21,25230,0
2024-04-22,25230,0
2024-04-23,25230,0
2024-04-24,25230,0
2024-04-25,24910,1
2024-04-26,24910,0
2024-04-27,24910,0
2024-04-28,24910,0
2024-04-29,24910,0
2024-04-30,24910,0
2024-05-01,24910,0
2024-05-02,24950,1
2024-05-03,24950,0
2024-05-04,24950,0
2024-05-05,24950,0
2024-05-06,24950,0
2024-05-07,24950,0
2024-05-08,24950,0
2024-05-09,23540,1
2024-05-10,23540,0
2024-05-11,23540,0
2024-05-12,23540,0
2024-05-13,23540,0
2024-05-14,23540,0
2024-05-15,23540,0
2024-05-16,23130,1
2024-05-17,23130,0
2024-05-18,23130,0
2024-05-19,23130,0
2024-05-20,23130,0
2024-05-21,23130,0
2024-05-22,23130,0
2024-05-23,23210,1
2024-05-24,23210,0
2024-05-25,23210,0
2024-05-26,23210,0
2024-05-27,23210,0
2024-05-28,23210,0
2024-05-29,23210,0
2024-05-30,22960,1
2024-05-31,22960,0
2024-06-01,22960,0
2024-06-02,22960,0
2024-06-03,22960,0
2024-06-04,22960,0
2024-06-05,22960,0
2024-06-06,21970,1
2024-06-07,21970,0
2024-06-08,21970,0
2024-06-09,21970,0
2024-06-10,21970,0
2024-06-11,21970,0
2024-06-12,21970,0
2024-06-13,22230,1
2024-06-14,22230,0
2024-06-15,22230,0
2024-06-16,22230,0
2024-06-17,22230,0
2024-06-18,22230,0
2024-06-19,22230,0
2024-06-20,22460,1
2024-06-21,22460,0
2024-06-22,22460,0
2024-06-23,22460,0
2024-06-24,22460,0
2024-06-25,22460,0
2024-06-26,22460,0
2024-06-27,23010,1
2024-06-28,23010,0
2024-06-29,23010,0
2024-06-30,23010,0
2024-07-01,23010,0
2024-07-02,23010,0
2024-07-03,23010,0
2024-07-04,23550,1
2024-07-05,23550,0
2024-07-06,23550,0
2024-07-07,23550,0
2024-07-08,23550,0
2024-07-09,23550,0
2024-07-10,23550,0
2024-07-11,23290,1
2024-07-12,23290,0
2024-07-13,23290,0
2024-07-14,23290,0
2024-07-15,23290,0
2024-07-16,23290,0
2024-07-17,23290,0
2024-07-18,23170,1
2024-07-19,23170,0
2024-07-20,23170,0
2024-07-21,23170,0
2024-07-22,23170,0
2024-07-23,23170,0
2024-07-24,23170,0
2024-07-25,22880,1
2024-07-26,22880,0
2024-07-27,22880,0
2024-07-28,22880,0
2024-07-29,22880,0
2024-07-30,22880,0
2024-07-31,22880,0
2024-08-01,22600,1
2024-08-02,22600,0
2024-08-03,22600,0
2024-08-04,22600,0
2024-08-05,22600,0
2024-08-06,22600,0
2024-08-07,22600,0
2024-08-08,21670,1
2024-08-09,21670,0
2024-08-10,21670,0
2024-08-11,21670,0
2024-08-12,21670,0
2024-08-13,21670,0
2024-08-14,21670,0
2024-08-15,21850,1
2024-08-16,21850,0
2024-08-17,21850,0
2024-08-18,21850,0
2024-08-19,21850,0
2024-08-20,21850,0
2024-08-21,21850,0
2024-08-22,21310,1
2024-08-23,21310,0
2024-08-24,21310,0
2024-08-25,21310,0
2024-08-26,21310,0
2024-08-27,21310,0
2024-08-28,21310,0
2024-08-29,21100,1
2024-08-30,21100,0
2024-08-31,21100,0
2024-09-01,21100,0
2024-09-02,21100,0
2024-09-03,21100,0
2024-09-04,21100,0
2024-09-05,20820,1
2024-09-06,20820,0
2024-09-07,20820,0
2024-09-08,20820,0
2024-09-09,20820,0
2024-09-10,20820,0
2024-09-11,20820,0
2024-09-12,19630,1
2024-09-13,19630,0
2024-09-14,19630,0
2024-09-15,19630,0
2024-09-16,19630,0
2024-09-17,19630,0
2024-09-18,19630,0
2024-09-19,19760,1
2024-09-20,19760,0
2024-09-21,19760,0
2024-09-22,19760,0
2024-09-23,19760,0
2024-09-24,19760,0
2024-09-25,19760,0
2024-09-26,20510,1
2024-09-27,20510,0
2024-09-28,20510,0
2024-09-29,20510,0
2024-09-30,20510,0
2024-10-01,20510,0
2024-10-02,20510,0
2024-10-03,19800,1
2024-10-04,19800,0
2024-10-05,19800,0
2024-10-06,19800,0
2024-10-07,19800,0
2024-10-08,19800,0
2024-10-09,19800,0
2024-10-10,21060,1
2024-10-11,21060,0
2024-10-12,21060,0
2024-10-13,21060,0
2024-10-14,21060,0
2024-10-15,21060,0
2024-10-16,21060,0
2024-10-17,20960,1
2024-10-18,20960,0
2024-10-19,20960,0
2024-10-20,20960,0
2024-10-21,20960,0
2024-10-22,20960,0
2024-10-23,20960,0
2024-10-24,20890,1
2024-10-25,20890,0
2024-10-26,20890,0
2024-10-27,20890,0
2024-10-28,20890,0
2024-10-29,20890,0
2024-10-30,20890,0
2024-10-31,20500,1
2024-11-01,20500,0
2024-11-02,20500,0
2024-11-03,20500,0
2024-11-04,20500,0
2024-11-05,20500,0
2024-11-06,20500,0
2024-11-07,20850,1
2024-11-08,20850,0
2024-11-09,20850,0
2024-11-10,20850,0
2024-11-11,20850,0
2024-11-12,20850,0
2024-11-13,20850,0
2024-11-14,20600,1
2024-11-15,20600,0
2024-11-16,20600,0
2024-11-17,20600,0
2024-11-18,20600,0
2024-11-19,20600,0
2024-11-20,20600,0
2024-11-21,20520,1
2024-11-22,20520,0
2024-11-23,20520,0
2024-11-24,20520,0
2024-11-25,20520,0
2024-11-26,20520,0
2024-11-27,20520,0
2024-11-28,20850,1
2024-11-29,20850,0
2024-11-30,20850,0
2024-12-01,20850,0
2024-12-02,20850,0
2024-12-03,20850,0
2024-12-04,20850,0
2024-12-05,20560,1
2024-12-06,20560,0
2024-12-07,20560,0
2024-12-08,20560,0
2024-12-09,20560,0
2024-12-10,20560,0
2024-12-11,20560,0
2024-12-12,20590,1
2024-12-13,20590,0
2024-12-14,20590,0
2024-12-15,20590,0
2024-12-16,20590,0
2024-12-17,20590,0
2024-12-18,20590,0
2024-12-19,21000,1
2024-12-20,21000,0
2024-12-21,21000,0
2024-12-22,21000,0
2024-12-23,21000,0
2024-12-24,21000,0
2024-12-25,21000,0
2024-12-26,20540,1
2024-12-27,20540,0
2024-12-28,20540,0
2024-12-29,20540,0
2024-12-30,20540,0
2024-12-31,20540,0
2025-01-01,20540,0
2025-01-02,20740,1
2025-01-03,20740,0
2025-01-04,20740,0
2025-01-05,20740,0
2025-01-06,20740,0
2025-01-07,20740,0
2025-01-08,20740,0
2025-01-09,21010,1
2025-01-10,21010,0
2025-01-11,21010,0
2025-01-12,21010,0
2025-01-13,21010,0
2025-01-14,21010,0
2025-01-15,21010,0
2025-01-16,21220,1
2025-01-17,21220,0
2025-01-18,21220,0
2025-01-19,21220,0
2025-01-20,21220,0
2025-01-21,21220,0
2025-01-22,21220,0
2025-01-23,21140,1
2025-01-24,21140,0
2025-01-25,21140,0
2025-01-26,21140,0
2025-01-27,21140,0
2025-01-28,21140,0
2025-01-29,21140,0
2025-01-30,21140,0
2025-01-31,21140,0
2025-02-01,21000,1
2025-02-02,21000,0
2025-02-03,21000,0
2025-02-04,21000,0
2025-02-05,21000,0
2025-02-06,20920,1
2025-02-07,20920,0
2025-02-08,20920,0
2025-02-09,20920,0
2025-02-10,20920,0
2025-02-11,20920,0
2025-02-12,20920,0
2025-02-13,21070,1
2025-02-14,21070,0
2025-02-15,21070,0
2025-02-16,21070,0
2025-02-17,21070,0
2025-02-18,21070,0
2025-02-19,21070,0
2025-02-20,21330,1
2025-02-21,21330,0
2025-02-22,21330,0
2025-02-23,21330,0
